=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.28 11:27:13 =~=~=~=~=~=~=~=~=~=~=~=
CO2(ppm):583,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:583
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:402
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:402
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:402
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:402
CO2(ppm):401,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:401
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:401
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:401
CO2(ppm):401,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:401
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:401
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:401
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:400
CO2(ppm):395,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):397,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):401,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):401,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):400,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):403,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):403,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):405,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):405,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):405,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):407,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):407,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):407,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):407,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):410,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):410,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):413,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):414,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):416,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):420,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):420,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):422,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):422,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):421,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):418,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):417,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):419,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):418,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):416,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):415,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):413,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):414,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):414,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):414,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):415,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):413,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):414,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):413,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):416,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):413,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):412,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):414,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):412,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):412,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):413,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):412,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):411,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):412,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):415,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):411,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):413,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):417,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):410,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):412,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):412,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):414,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):421,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):422,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):424,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):427,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):432,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):436,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):440,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):441,Temperature(C):20,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):439,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):443,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):442,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):442,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):443,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):446,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):447,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):446,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):449,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):450,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):454,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):456,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):455,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):454,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):454,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):455,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):454,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):458,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):462,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):466,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):468,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):469,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):467,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):466,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):466,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):468,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):468,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):457,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):455,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):454,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):446,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):450,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):453,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):447,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):438,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):433,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):435,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):436,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):434,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):431,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):425,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):424,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):422,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):418,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):416,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):410,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):409,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):408,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):407,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):407,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):406,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):405,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):405,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):404,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):403,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):401,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):400,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):396,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:395
CO2(ppm):392,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:392
CO2(ppm):393,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:392
CO2(ppm):397,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:392
CO2(ppm):396,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:392
CO2(ppm):398,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:392
CO2(ppm):390,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:390
CO2(ppm):380,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:380
CO2(ppm):374,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:374
CO2(ppm):374,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:374
CO2(ppm):375,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:374
CO2(ppm):365,Temperature(C):22,Maximum_CO2:583,Minimum_CO2:365
CO2(ppm):357,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:357
CO2(ppm):358,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:357
CO2(ppm):338,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:338
CO2(ppm):337,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:337
CO2(ppm):341,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:337
CO2(ppm):334,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:334
CO2(ppm):335,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:334
CO2(ppm):336,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:334
CO2(ppm):335,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:334
CO2(ppm):342,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:334
CO2(ppm):323,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:323
CO2(ppm):307,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:307
CO2(ppm):308,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:307
CO2(ppm):332,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:307
CO2(ppm):327,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:307
CO2(ppm):320,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:307
CO2(ppm):330,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:307
CO2(ppm):315,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:307
CO2(ppm):301,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:301
CO2(ppm):300,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):310,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):306,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):314,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):318,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):320,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):305,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):333,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):347,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):342,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):341,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):351,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):352,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):360,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):350,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):341,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):346,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):354,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):353,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):348,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):341,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):343,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):342,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):342,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):341,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):338,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):333,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):332,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):345,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):348,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):348,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):352,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):363,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):363,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):361,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):363,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):361,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):366,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):371,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):376,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):376,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):380,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):393,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):391,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):391,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):390,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):397,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):395,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):402,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):401,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
CO2(ppm):400,Temperature(C):23,Maximum_CO2:583,Minimum_CO2:300
